,period,minute,location,under_pressure,player_name,pattern_of_play,team,player_position,statsbomb_xg,technique,body_part,tipe,first_time,goal,location_x,location_y,distance,angle
4672,2,88,"[114.0, 32.5]",1.0,Sophie Louise Ingle,From Corner,Chelsea FCW,Center Defensive Midfield,0.02222148,Normal,Head,Open Play,0,0,114.0,32.5,9.604686356149273,0.5618345981732012
4673,2,88,"[112.2, 31.9]",0.0,Sophie Louise Ingle,From Corner,Chelsea FCW,Center Defensive Midfield,0.058916494,Half Volley,Right Foot,Open Play,1,0,112.2,31.9,11.244998888394786,0.5142573729442
4674,2,92,"[109.3, 29.7]",0.0,Guro Reiten,From Goal Kick,Chelsea FCW,Left Wing,0.122595906,Normal,Left Foot,Open Play,0,0,109.3,29.7,14.851935900750451,0.3962826411954997
4675,2,93,"[106.8, 33.3]",0.0,Bethany England,Regular Play,Chelsea FCW,Center Forward,0.13165963,Normal,Left Foot,Open Play,0,0,106.8,33.3,14.803040228277437,0.47941233266080213
4676,1,4,"[90.9, 53.0]",0.0,Matilde Lundorf Skovsen,Regular Play,Brighton & Hove Albion WFC,Right Back,0.013947747,Normal,Left Foot,Open Play,0,0,90.9,53.0,31.87177434659074,0.2287680436571923
4677,1,7,"[81.9, 52.4]",0.0,Léa Le Garrec,Regular Play,Brighton & Hove Albion WFC,Left Center Midfield,0.010605776,Normal,Right Foot,Open Play,0,0,81.9,52.4,40.06706877224736,0.18947367361683579
4678,1,10,"[110.7, 48.4]",0.0,Victoria Williams,From Corner,Brighton & Hove Albion WFC,Left Center Back,0.05419873,Volley,Right Foot,Open Play,1,0,110.7,48.4,12.53195914452325,0.4853833158425991
4679,1,14,"[109.4, 25.6]",0.0,Aileen Whelan,Regular Play,Brighton & Hove Albion WFC,Left Wing,0.12250816,Normal,Left Foot,Open Play,0,0,109.4,25.6,17.880715869338115,0.27227091219622207
4680,1,19,"[96.5, 40.4]",0.0,Carla Humphrey,Regular Play,Bristol City WFC,Right Center Midfield,0.076241285,Normal,Right Foot,Open Play,0,0,96.5,40.4,23.503404008781366,0.33710075051455446
4681,1,19,"[100.8, 34.7]",0.0,Kayleigh Green,Regular Play,Brighton & Hove Albion WFC,Center Forward,0.1107034,Normal,Left Foot,Open Play,0,0,100.8,34.7,19.91808223700264,0.38346450675654337
4682,1,28,"[113.0, 47.8]",0.0,Kayleigh Green,Regular Play,Brighton & Hove Albion WFC,Center Forward,0.113902844,Normal,Head,Open Play,0,0,113.0,47.8,10.480458005259118,0.5380340685114485
4683,1,32,"[75.2, 46.2]",0.0,Léa Le Garrec,Regular Play,Brighton & Hove Albion WFC,Left Center Midfield,0.011039643,Normal,Right Foot,Open Play,0,0,75.2,46.2,45.22698309637732,0.17479475229863242
4684,1,35,"[90.4, 40.7]",0.0,Léa Le Garrec,From Free Kick,Brighton & Hove Albion WFC,Left Center Midfield,0.048731375,Normal,Right Foot,Free Kick,0,0,90.4,40.7,29.608275870100908,0.26849718296085223
4685,1,37,"[106.3, 27.7]",0.0,Aileen Whelan,Regular Play,Brighton & Hove Albion WFC,Left Wing,0.0795053999999999,Normal,Right Foot,Open Play,0,0,106.3,27.7,18.411409506064444,0.32714668575061806
